0,1,0,369751136,369753152,442933248
1,1,0,370784096,21312,370782592
0,2,0,376877792,376879968,451036768
1,2,0,379497792,19808,379490528
0,3,0,406784224,406786240,481791680
1,3,0,413016736,29472,76152352
0,4,0,433992608,433994784,510196288
1,4,0,444131008,20384,444129472
0,5,0,495880736,495882496,574597952
1,5,0,509986400,20000,81878336
0,6,0,550172384,550180608,631215136
1,6,0,568316896,19616,568315488
0,7,0,643772800,643774976,726693248
1,7,0,660924000,19520,660925536
0,8,0,722583584,722585760,808768256
1,8,0,740368704,20480,740367168
0,9,0,822766944,822769216,920124960
1,9,0,840608736,19584,915791616
0,1,0,370978272,370980416,445203136
1,1,0,371583392,19712,73533472
0,2,0,377203008,377208576,452450016
1,2,0,380936032,18912,74817760
0,3,0,408411616,408413760,484394816
1,3,0,413843872,19808,76214656
0,4,0,435790144,435792288,512362208
1,4,0,445621184,19520,78232896
0,5,0,497010688,497015456,575884864
1,5,0,511594720,19424,82297440
0,6,0,551088384,551090528,632268320
1,6,0,569097568,19712,569099168
0,7,0,644457248,644459424,728150944
1,7,0,661624704,20160,661622624
0,8,0,722902080,722904224,809092288
1,8,0,742381632,20224,742380096
0,9,0,825085984,825088128,923316800
1,9,0,837030656,19904,912476768
0,1,0,371590464,371592640,446023200
1,1,0,372154208,20256,73748416
0,2,0,377645056,377647072,453092128
1,2,0,381777152,20224,75052480
0,3,0,409232224,409234464,485429312
1,3,0,414506816,19424,76397312
0,4,0,436353472,436355616,513934560
1,4,0,450245152,19872,78956320
0,5,0,502279296,502281472,581785440
1,5,0,516782432,19840,82843488
0,6,0,557108256,557110432,638932288
1,6,0,575554976,19776,575556416
0,7,0,651807936,651810080,736315872
1,7,0,669102400,20800,669100864
0,8,0,731179456,731181632,817373504
1,8,0,749542560,20960,749536320
0,9,0,832577440,832579104,931631616
1,9,0,850844224,20128,926698176
0,1,0,375009984,375012000,449881760
1,1,0,375712416,20256,74186976
0,2,0,381310464,381312608,456456384
1,2,0,385388128,20640,75496992
0,3,0,412965664,412967808,489613152
1,3,0,418658176,19808,76943904
0,4,0,440655104,440657248,518624192
1,4,0,450795616,19392,79044032
0,5,0,502661920,502664096,582229024
1,5,0,517488768,20704,83110432
0,6,0,557395520,557397696,639320224
1,6,0,575840448,21088,575842016
0,7,0,652189664,652191904,736035712
1,7,0,669691904,20064,669690336
0,8,0,732013952,732016096,818157056
1,8,0,751579520,20992,751586464
0,9,0,833594592,833596640,932644768
1,9,0,845266944,19360,921136128
0,1,0,375458688,375460928,449626560
1,1,0,376067840,18912,74226432
0,2,0,383814400,383816544,459702400
1,2,0,385708512,20608,75544384
0,3,0,413352448,413354560,490024224
1,3,0,418947840,20160,76959872
0,4,0,440917120,440919232,518920096
1,4,0,451026048,20992,79068576
0,5,0,502809312,502811456,582407712
1,5,0,517424832,19328,82940416
0,6,0,557615936,557618080,639537056
1,6,0,576006112,20352,576004544
0,7,0,652420512,652422528,737017152
1,7,0,669878848,20064,669877312
0,8,0,732501184,732503328,819390624
1,8,0,752284544,19808,752277632
0,9,0,834352736,834356032,933398336
1,9,0,846262336,20000,922182880
0,1,0,375613568,375615744,450529472
1,1,0,376221344,19520,74261472
0,2,0,381936384,381938528,457896320
1,2,0,385726464,19680,75573600
0,3,0,413595424,413597568,490286432
1,3,0,419389664,19616,76971168
0,4,0,441139008,441141184,519153536
1,4,0,451310432,19744,79114912
0,5,0,502914784,502916960,582546720
1,5,0,517523936,18976,82985632
0,6,0,557766304,557768352,639668512
1,6,0,576223232,20000,576224800
0,7,0,652835584,652837760,736723424
1,7,0,670564640,19968,670566080
0,8,0,733166176,733168320,819345216
1,8,0,751128064,20480,751133312
0,9,0,834681536,834691232,933744544
1,9,0,846538912,20256,922453920
0,1,0,375666784,375668960,449880448
1,1,0,376312096,18976,74251648
0,2,0,383009728,383011840,458963904
1,2,0,385784928,19872,75561280
0,3,0,413582528,413584768,489566144
1,3,0,419165888,19328,76997664
0,4,0,441137120,441139296,519185600
1,4,0,451260160,19520,79105088
0,5,0,503077504,503079680,581967488
1,5,0,518097248,19744,83235136
0,6,0,558228256,558230336,640136256
1,6,0,576402752,19968,576401216
0,7,0,653113280,653117888,737032736
1,7,0,670382208,20896,670380672
0,8,0,733278112,733280224,819454080
1,8,0,752774272,20640,752772800
