Par,Size,start1,end1,start2,end2
0,1,0,371493184,371495520,743331392
1,1,0,379824288,19040,379825728
0,2,0,377544064,377546208,755050624
1,2,0,435929632,19360,435928192
0,3,0,408673952,408676096,817512480
1,3,0,588942336,21088,588943776
0,4,0,435830080,435832096,872094176
1,4,0,725893248,23584,725891776
0,5,0,496824608,496826624,995926784
1,5,0,915295712,23168,915294304
0,6,0,550920096,550922272,1106315072
1,6,0,1097935680,19936,1097934240
0,7,0,644097056,644099168,1293097888
1,7,0,1282892672,22848,1282887264
0,8,0,722970432,722972608,1453819744
1,8,0,1468608544,19360,1468602944
0,9,0,825325664,825327840,1657337248
1,9,0,1470819200,18304,1877650560
0,1,0,371542912,371544928,743278368
1,1,0,379897728,19776,379896288
0,2,0,379327520,379329856,756881024
1,2,0,436067840,18912,436066432
0,3,0,408997120,408999104,818350848
1,3,0,589102560,21344,589103968
0,4,0,435940320,435942464,872010592
1,4,0,725107680,21696,725106272
0,5,0,496925888,496928032,997230080
1,5,0,918449088,5984,918443136
0,6,0,550887168,550889344,1106492480
1,6,0,1099171424,20960,1099164832
0,7,0,644493152,644495360,1293762720
1,7,0,1285141376,21056,1285142912
0,8,0,724768096,724770240,1455973216
1,8,0,1465408768,27872,1465414592
0,9,0,825323488,825325536,1657718208
1,9,0,1467158368,19712,1873900864
0,1,0,371375392,371377696,742854784
1,1,0,379884224,19456,379882816
0,2,0,377249184,377251168,754947744
1,2,0,435967072,19968,435965664
0,3,0,408777344,408779392,817933408
1,3,0,589226112,21824,589227552
0,4,0,435846176,435848320,871839232
1,4,0,725179328,21056,725173472
0,5,0,496875872,496877888,996279424
1,5,0,916835200,23104,916833792
0,6,0,550903008,550904736,1107347584
1,6,0,1103274880,25024,1103273376
0,7,0,644023040,644025152,1294822944
1,7,0,1285081792,23008,1285083232
0,8,0,724844032,724846080,1455793696
1,8,0,1466317536,19200,1466316128
0,9,0,823507232,823509248,1655925664
1,9,0,1471986176,20480,1878688256
0,1,0,371336864,371339008,742711648
1,1,0,380823072,19136,380821664
0,2,0,377443200,377445376,755321632
1,2,0,436296896,18560,436298432
0,3,0,408700224,408702368,817516992
1,3,0,560815584,20384,560814080
0,4,0,435773120,435775264,871607008
1,4,0,726381920,22336,727018144
0,5,0,496983424,496985600,996127616
1,5,0,911558432,22816,915890624
0,6,0,550788480,550790624,1104913248
1,6,0,1096196160,21120,1097849184
0,7,0,644022912,644025056,1294804576
1,7,0,1287144672,29888,1283221184
0,8,0,723685440,723687488,1454525344
1,8,0,1451826016,27456,1466271360
0,9,0,823624160,823626144,1655758208
1,9,0,1525873152,18880,2094277472
0,1,0,371322240,371324384,742690272
1,1,0,379880032,19520,379891168
0,2,0,378526112,378528224,755973632
1,2,0,435924800,18720,435933632
0,3,0,408773920,408776064,817641440
1,3,0,560657312,22048,560872768
0,4,0,435885216,435887360,871731232
1,4,0,724094688,21792,724497824
0,5,0,496786528,496788704,993574240
1,5,0,914103328,28672,915515008
0,6,0,550830528,550832672,1105719520
1,6,0,1095016576,21280,1097781440
0,7,0,644204544,644206720,1294950400
1,7,0,1291907040,25792,1291905632
0,8,0,722765504,722767680,1451295392
1,8,0,1461054528,18848,1462597312
0,9,0,823653280,823655456,1655682240
1,9,0,1520642112,18880,2090155328
0,1,0,371560608,371562816,743158432
1,1,0,379998144,18784,380008320
0,2,0,377973056,377975232,755661312
1,2,0,436003520,19168,436007072
0,3,0,408889856,408891872,817898688
1,3,0,592701440,21024,568551296
0,4,0,435939360,435941536,871927712
1,4,0,724105824,21152,724753888
0,5,0,496934944,496937120,995332416
1,5,0,914391264,20768,915335264
0,6,0,550860224,550862368,1102579360
1,6,0,1100842752,35200,1095636576
0,7,0,644513792,644515936,1295234048
1,7,0,1277631040,22560,1282760640
0,8,0,723043456,723045600,1454226208
1,8,0,1450779680,19712,1466357152
0,9,0,824064448,824066592,1656217824
1,9,0,1473309120,19008,1879924736
0,1,0,371900064,371902176,743763232
1,1,0,381071008,19104,381081504
0,2,0,377753600,377755584,755613408
1,2,0,436140992,18784,436139584
0,3,0,409032256,409034400,818152384
1,3,0,592750368,19456,568585664
0,4,0,436018656,436020992,872066848
1,4,0,724518848,21408,725155712
0,5,0,496897440,496899584,994131008
1,5,0,914363008,25536,914666880
0,6,0,550937984,550939968,1106202976
1,6,0,1094642560,20960,1097265120
0,7,0,644839168,644841312,1296330464
1,7,0,1285036192,20800,1284013024
0,8,0,722859360,722861536,1452706080
1,8,0,1452923648,19520,1464908512
0,9,0,822943584,822945728,1654698368
1,9,0,1483359200,19136,2091131968
0,1,0,371582080,371584224,743285472
1,1,0,380142368,19456,380151712
0,2,0,379416704,379418848,758527296
1,2,0,435997056,18688,436006624
0,3,0,408867616,408869600,817809312
1,3,0,592805696,20608,568787008
0,4,0,435967648,435970016,871962304
1,4,0,724701376,21312,725135328
0,5,0,496837920,496840064,993688704
1,5,0,915791232,21312,916723296
0,6,0,550855808,550857952,1106078944
1,6,0,1095288992,21824,1097454880
0,7,0,644194144,644196160,1293961056
1,7,0,1284938688,21536,1284937280
0,8,0,724249824,724252160,1455104064
1,8,0,1451720480,19520,1467314432
0,9,0,824940032,824942176,1657152960
1,9,0,1523344736,19840,2097109344
0,1,0,371527232,371529376,743144992
1,1,0,379876320,19424,379890720
0,2,0,377669440,377671584,755619872
1,2,0,435958944,20224,435967808
0,3,0,408926688,408928832,817884416
1,3,0,560616128,20640,560918880
0,4,0,435945216,435947392,871933632
1,4,0,724574144,21312,725006656
0,5,0,496801504,496803648,993631264
1,5,0,921474752,21504,920366656
0,6,0,550866368,550868480,1104022240
1,6,0,1097590528,20832,1097588992
0,7,0,644615296,644617280,1295954816
1,7,0,1284199040,20960,1281559168
0,8,0,724042784,724044960,1454807296
1,8,0,1464276512,18848,1464275072
0,9,0,825154080,825156224,1657952128
1,9,0,1520068352,39232,2091633888
0,1,0,371671136,371673280,743249504
1,1,0,379774752,19392,379785824
0,2,0,377486304,377488448,755088672
1,2,0,436037280,20000,436056608
0,3,0,408902112,408904064,817891968
1,3,0,588947968,18496,564784704
0,4,0,435921920,435924096,871907616
1,4,0,724875488,21824,725267296
0,5,0,496845568,496847872,994131648
1,5,0,912544544,21088,916875584
0,6,0,550859904,550861888,1103952256
1,6,0,1101767392,21280,1096542624
0,7,0,644219264,644221280,1293807808
1,7,0,1291570624,20672,1281825792
0,8,0,724120256,724122432,1454841952
1,8,0,1467480928,18592,1467482336
0,9,0,824604032,824606176,1656595072
1,9,0,1523731296,18944,2095552928
