Par,Size,start1,end1,start2,end2
0,1,0,371355200,371357216,518477696
1,1,0,372457376,19296,147517088
0,2,0,379202560,379204576,528035744
1,2,0,382929248,19936,382930688
0,3,0,408636672,408638944,558799264
1,3,0,418312704,21216,152799712
0,4,0,435969504,435971616,589258848
1,4,0,455847232,21536,455848672
0,5,0,498129024,498131136,654538080
1,5,0,527161888,21856,165576672
0,6,0,552345536,552347680,712839456
1,6,0,589778944,21664,177580768
0,7,0,644401056,644403264,810621728
1,7,0,682975808,21408,200224704
0,8,0,725484320,725486496,897675808
1,8,0,768292224,19456,768293664
0,9,0,826681344,826683488,1013742528
1,9,0,877051680,19072,476187776
0,1,0,371191136,371193344,518280736
1,1,0,372630336,19584,147573632
0,2,0,377446272,377448480,525878912
1,2,0,382846816,19936,382845376
0,3,0,408781440,408783616,559431392
1,3,0,419010944,21856,152754592
0,4,0,435821312,435823456,588741568
1,4,0,457126528,21984,157866752
0,5,0,497997248,497999424,654082912
1,5,0,527279712,21344,165597536
0,6,0,552544576,552546592,713067424
1,6,0,589006144,21472,177725408
0,7,0,647419104,647421216,814429344
1,7,0,688039360,21952,201480288
0,8,0,726949088,726951232,899070400
1,8,0,772890592,23648,772889152
0,9,0,825641184,825643392,1013032704
1,9,0,873563872,19168,472703328
0,1,0,371494944,371496960,518591808
1,1,0,372627264,19712,147461536
0,2,0,377492192,377494304,526346016
1,2,0,383252896,24416,383251392
0,3,0,408657216,408659232,558944000
1,3,0,418242208,22752,152805120
0,4,0,435925568,435927648,589199872
1,4,0,455039552,22048,455038016
0,5,0,498705312,498707104,655139680
1,5,0,526238720,21664,165298144
0,6,0,551941888,551943936,712450528
1,6,0,589788704,21152,589794592
0,7,0,645286336,645288352,811002784
1,7,0,682419616,21504,682421056
0,8,0,724404192,724406432,895637568
1,8,0,771800096,19552,251065600
0,9,0,825560608,825562816,1012985440
1,9,0,878000192,19040,471471104
0,1,0,371585888,371588096,518492672
1,1,0,372690560,19264,147234336
0,2,0,378710400,378712576,527066080
1,2,0,383071552,19424,383070144
0,3,0,408903456,408905440,558977664
1,3,0,419192288,20736,152498272
0,4,0,436010240,436012416,589186080
1,4,0,455164352,20576,455165760
0,5,0,497816832,497819040,654003488
1,5,0,525336448,21856,164573568
0,6,0,553320832,553322816,714198656
1,6,0,591595456,21312,177601632
0,7,0,645838048,645840192,811908416
1,7,0,684286624,21504,684288192
0,8,0,724394944,724396960,896558912
1,8,0,773112448,19296,250265120
0,9,0,826701056,826703040,1014098272
1,9,0,876594720,23072,472875136
0,1,0,371316512,371318688,518408800
1,1,0,372771712,19680,372770176
0,2,0,378078240,378080416,526568416
1,2,0,382908640,19328,382907104
0,3,0,408854304,408856320,559507648
1,3,0,418487072,23104,152827264
0,4,0,435929504,435931648,588802144
1,4,0,454811744,22368,156907392
0,5,0,496715264,496717248,652716448
1,5,0,525348608,21312,164601440
0,6,0,552402272,552404320,713213024
1,6,0,589498080,21184,177602112
0,7,0,644160832,644163072,810232320
1,7,0,680943968,21120,201339808
0,8,0,725493952,725495968,897647456
1,8,0,771610272,18976,250879712
0,9,0,827765984,827768160,1015187424
1,9,0,871641696,20032,468831424
0,1,0,371584128,371586304,518588704
1,1,0,372716000,19264,372717440
0,2,0,377485376,377487392,526310784
1,2,0,383046112,18912,383044704
0,3,0,408727456,408729472,559255168
1,3,0,418151712,20928,152771520
0,4,0,436006560,436008704,589241504
1,4,0,454860960,21280,156916640
0,5,0,497040928,497043136,653336672
1,5,0,527165856,21856,165940768
0,6,0,552285344,552287552,712636320
1,6,0,588659296,21504,177482816
0,7,0,645755008,645757184,811435712
1,7,0,683506848,20736,201328672
0,8,0,724354144,724356224,896277312
1,8,0,771479296,19968,251126784
0,9,0,826033152,826035136,1013014592
1,9,0,875971488,20672,471757888
0,1,0,371413024,371415200,517866048
1,1,0,372563840,19392,147303712
0,2,0,377802400,377804512,525977632
1,2,0,382885984,19648,149604256
0,3,0,408906688,408908832,558830048
1,3,0,419072416,21152,152470304
0,4,0,435885216,435887360,588403456
1,4,0,454920992,21440,156639616
0,5,0,498672288,498674368,654742016
1,5,0,526910624,21376,165703808
0,6,0,552560224,552562368,712896544
1,6,0,589460544,35104,177606688
0,7,0,644496960,644499136,810217184
1,7,0,683075424,21088,201044928
0,8,0,724877376,724879552,895632192
1,8,0,769181024,19328,249985632
0,9,0,825844032,825846208,1012843584
1,9,0,879874496,18976,473275968
0,1,0,371380608,371382624,518080448
1,1,0,372638048,19552,147575200
0,2,0,377583296,377585440,526618784
1,2,0,382956768,18912,149889664
0,3,0,408871424,408873440,559074496
1,3,0,419205024,18816,152766720
0,4,0,436005120,436007264,588890304
1,4,0,456109472,20768,157774816
0,5,0,499059840,499061888,655058144
1,5,0,527256704,21952,165643136
0,6,0,552942880,552945056,713287840
1,6,0,589093344,22048,177767680
0,7,0,646576064,646578208,812256928
1,7,0,681789152,21376,200905920
0,8,0,726746976,726749152,898500608
1,8,0,772782432,19328,249782752
0,9,0,826088448,826090592,1013091872
1,9,0,877128352,19968,472032864
0,1,0,371418720,371420864,518130272
1,1,0,372500160,19200,147567328
0,2,0,377595232,377597440,526014336
1,2,0,383036512,18976,383037920
0,3,0,408617536,408619648,558768448
1,3,0,419174400,19680,152773952
0,4,0,435900864,435908896,588725952
1,4,0,456466720,21024,158016768
0,5,0,496711520,496713664,652719168
1,5,0,527587136,21664,165611456
0,6,0,553415488,553417664,713758432
1,6,0,589706816,21248,177546624
0,7,0,646784672,646786848,812464512
1,7,0,684933088,21600,201513184
0,8,0,723850240,723852352,894604128
1,8,0,767096736,19328,250287232
0,9,0,827483840,827485984,1014500960
1,9,0,878291968,19456,476153632
0,1,0,371441568,371443712,518186592
1,1,0,372534656,19552,147494880
0,2,0,377610624,377612800,526031488
1,2,0,382859744,19008,149878240
0,3,0,408849792,408851968,559027328
1,3,0,418305568,24704,152794816
0,4,0,435875168,435877312,588726976
1,4,0,456222208,21376,157859328
0,5,0,496770464,496772640,652777056
1,5,0,527477280,22272,165662976
0,6,0,553094752,553096896,713464448
1,6,0,589626496,21376,177536160
0,7,0,648040800,648043008,814739584
1,7,0,685306752,22560,201117664
0,8,0,727118880,727121088,898847040
1,8,0,769778400,39104,769779840
0,9,0,826275072,826277248,1013350304
1,9,0,874945440,20064,471778080
