Par,Size,start1,end1,start2,end2
0,1,0,371304416,371306528,742977024
1,1,0,380304032,22720,380302496
0,2,0,377336000,377337984,754814944
1,2,0,435980096,23552,435978624
0,3,0,408838432,408840544,817848096
1,3,0,592761248,19648,592768736
0,4,0,435931232,435933376,872268704
1,4,0,725115616,19584,725119840
0,5,0,496768576,496770784,994816160
1,5,0,916306208,25088,916307744
0,6,0,550888960,550890944,1105880576
1,6,0,1101513600,20128,1101512032
0,7,0,645048128,645050272,1296619520
1,7,0,1284796704,18976,1284802240
0,8,0,726577760,726579776,1457735968
1,8,0,1466186848,23200,1466188256
0,9,0,827018304,827020320,1659441120
1,9,0,1468662688,22560,1875490784
0,1,0,371632064,371634144,743388096
1,1,0,379750656,23296,379752096
0,2,0,377793344,377795456,755876992
1,2,0,436032544,23008,436031136
0,3,0,408818528,408820704,817803008
1,3,0,587754784,23808,587756192
0,4,0,436047328,436049504,872524288
1,4,0,727117600,19104,727119136
0,5,0,496772416,496774592,995651776
1,5,0,918727744,24480,918726304
0,6,0,550901184,550903200,1106655072
1,6,0,1102362400,24480,1102363840
0,7,0,645800992,645803200,1297181632
1,7,0,1294593504,19136,1294591808
0,8,0,725664416,725666496,1456637184
1,8,0,1469108448,22880,1469109856
0,9,0,826169920,826172096,1658396128
1,9,0,1470643488,49728,1877440672
0,1,0,371548448,371550624,743392288
1,1,0,379867072,23136,379881536
0,2,0,378536064,378538400,756773312
1,2,0,436246144,22944,436247712
0,3,0,408945504,408947680,818366272
1,3,0,560894752,24032,560896192
0,4,0,436016096,436018272,872372416
1,4,0,724621920,19104,725063072
0,5,0,496894560,496896576,997489056
1,5,0,917272992,19392,917274528
0,6,0,550991488,550993600,1105563072
1,6,0,1107132448,29760,1107131008
0,7,0,647382848,647384864,1299250432
1,7,0,1285991584,23072,1285993024
0,8,0,726237632,726239808,1457416512
1,8,0,1465460544,22720,1465466976
0,9,0,826306560,826308704,1658658560
1,9,0,1467331968,23200,1874308384
0,1,0,371724800,371726784,743714528
1,1,0,380001792,23936,380015872
0,2,0,377764352,377766528,757702912
1,2,0,436126176,23264,436127584
0,3,0,409070400,409072544,818550528
1,3,0,560698848,18816,560857376
0,4,0,436134432,436136416,872370048
1,4,0,727518848,23680,727520288
0,5,0,496906880,496908960,995105472
1,5,0,920414176,23648,920412768
0,6,0,550877568,550879552,1105215360
1,6,0,1104007232,23904,1104008640
0,7,0,645353248,645355424,1297116800
1,7,0,1284126400,23776,1284124992
0,8,0,724018720,724020864,1455200224
1,8,0,1467703264,22368,1467704704
0,9,0,826453280,826455424,1658983936
1,9,0,1470384096,23264,1877028352
0,1,0,374627488,374629664,749284064
1,1,0,380403328,28512,380401824
0,2,0,378989120,378991136,756924864
1,2,0,435986400,22336,435984992
0,3,0,408805472,408807616,818051456
1,3,0,592712544,18400,592711104
0,4,0,435961344,435963424,872348064
1,4,0,724624832,19008,724626240
0,5,0,496856768,496858976,996829504
1,5,0,919935712,19392,919934304
0,6,0,550965856,550967968,1107489120
1,6,0,1104253056,20928,1104254592
0,7,0,645924448,645926432,1297878240
1,7,0,1290573504,19360,1290572064
0,8,0,726831872,726834080,1458014656
1,8,0,1463913280,23200,1463911872
0,9,0,824731232,824733376,1656278944
1,9,0,1470235328,25088,1877032768
0,1,0,374931200,374933376,749909280
1,1,0,383472512,23136,383487776
0,2,0,379781600,379783776,758195520
1,2,0,436061152,26432,436077088
0,3,0,408991584,408993728,818195648
1,3,0,561043392,19264,561041984
0,4,0,436052416,436054368,872151488
1,4,0,724281280,22816,724865024
0,5,0,496864416,496866560,993792416
1,5,0,920786816,22528,919757376
0,6,0,551480352,551482208,1107571424
1,6,0,1099601184,23136,1099602592
0,7,0,647143616,647145600,1299155904
1,7,0,1290773216,23360,1290767808
0,8,0,725099584,725101728,1456495936
1,8,0,1471522176,23136,1471527456
0,9,0,832727296,832729472,1665519328
1,9,0,1476210304,25344,1883493952
0,1,0,374915008,374916992,750226336
1,1,0,384551328,24544,384567136
0,2,0,377620800,377622976,755446464
1,2,0,436132512,27168,436131072
0,3,0,409173504,409175680,818742176
1,3,0,589546048,20480,565393056
0,4,0,436198560,436200768,872629248
1,4,0,727081056,26080,727082464
0,5,0,497015168,497017216,997836832
1,5,0,929003616,24224,929009952
0,6,0,551015520,551017696,1105570592
1,6,0,1097510624,23968,1097509216
0,7,0,645910688,645912864,1297527104
1,7,0,1295259648,20640,1295258208
0,8,0,731193536,731195712,1462771552
1,8,0,1475161088,24576,1475162496
0,9,0,832327840,832330016,1665236000
1,9,0,1480120096,22880,1887242848
0,1,0,375099424,375101568,750342624
1,1,0,383643296,23680,383641856
0,2,0,377823840,377825984,756020320
1,2,0,436070560,30336,436092000
0,3,0,409079072,409081120,818597696
1,3,0,593036128,24608,593037568
0,4,0,436018208,436020352,872179520
1,4,0,727043904,23136,727042496
0,5,0,497052800,497054976,995370368
1,5,0,920799264,22560,920797760
0,6,0,551050048,551052064,1106278080
1,6,0,1098220352,18560,1098221792
0,7,0,646513408,646515584,1298725888
1,7,0,1292900640,33120,1292902080
0,8,0,725706016,725708192,1457154688
1,8,0,1475143520,23232,1475144960
0,9,0,832911936,832914080,1666247712
1,9,0,1480944896,23392,1888042912
0,1,0,374583168,374585344,749656928
1,1,0,383542272,24576,383540736
0,2,0,377546560,377548576,755574208
1,2,0,436006848,23072,436009056
0,3,0,408847072,408849056,817870752
1,3,0,561145792,5568,561147328
0,4,0,436084800,436086976,872573856
1,4,0,725437376,22944,725438816
0,5,0,496975488,496977568,995489376
1,5,0,917308544,19488,917307040
0,6,0,551270944,551273248,1106330912
1,6,0,1097157824,19008,1097161536
0,7,0,646038272,646040448,1297981728
