Par,Size,start1,end1,start2,end2
0,1,0,371403136,371405280,810355776
1,1,0,374418944,19008,440577088
0,2,0,377381728,377383904,821154368
1,2,0,447437376,19936,447435840
0,3,0,408854848,408856992,858613344
1,3,0,456117312,19296,456116000
0,4,0,435987072,435989248,893417184
1,4,0,488531680,24864,469168320
0,5,0,499359936,499362112,967781856
1,5,0,588794784,19360,588796320
0,6,0,552974848,552977024,1032739072
1,6,0,673328128,19744,673326592
0,7,0,645977952,645979968,1144484480
1,7,0,768235936,20448,768234336
0,8,0,727773568,727775744,1241899808
1,8,0,861313728,19840,861315264
0,9,0,826636704,826638848,1386578112
1,9,0,946140064,20224,1394824032
0,1,0,371369376,371371520,810346656
1,1,0,374227392,21216,440439328
0,2,0,377214656,377216800,821026144
1,2,0,447367008,27264,447365472
0,3,0,408719648,408721824,858250048
1,3,0,455988416,18912,455987072
0,4,0,435902432,435904608,893154208
1,4,0,490920480,20320,490922016
0,5,0,496735552,496737696,964680736
1,5,0,587654816,18880,587656384
0,6,0,551897248,551899392,1031590944
1,6,0,676409056,18624,676410624
0,7,0,645977632,645979936,1144173760
1,7,0,770779808,21152,770778272
0,8,0,725100928,725103296,1239120960
1,8,0,860477408,20064,860475872
0,9,0,826435616,826437792,1386326432
1,9,0,946255008,18848,1395033280
0,1,0,371441280,371443456,811185184
1,1,0,441516320,19680,441514784
0,2,0,379417120,379419200,824349984
1,2,0,448177728,19424,448176224
0,3,0,408553920,408556128,858965600
1,3,0,456662240,18944,456663776
0,4,0,435761248,435763232,893860128
1,4,0,489133952,19136,489135488
0,5,0,499076288,499078432,967285984
1,5,0,589513216,18976,498801568
0,6,0,552332800,552334816,1032363808
1,6,0,674663552,18880,674665120
0,7,0,646607232,646609344,1146364416
1,7,0,767748448,19712,767749984
0,8,0,724946336,724948352,1238738144
1,8,0,861797216,21664,861798560
0,9,0,825608096,825610240,1385563520
1,9,0,945092224,19424,1393800672
0,1,0,371225152,371227296,809831232
1,1,0,440454592,19392,440456256
0,2,0,378377184,378379328,822440576
1,2,0,447369152,19776,447367648
0,3,0,408615584,408617568,858194688
1,3,0,455999936,18560,455998656
0,4,0,435797440,435799584,892936032
1,4,0,489930304,19680,489931840
0,5,0,498496800,498498976,966711168
1,5,0,589402016,19392,500148608
0,6,0,552913120,552915328,1032958688
1,6,0,676080896,24640,537277056
0,7,0,646506816,646508960,1144668736
1,7,0,768679744,20256,768681312
0,8,0,726580352,726582528,1240620640
1,8,0,861850528,19296,861851872
0,9,0,826902784,826904832,1386844032
1,9,0,946425184,19264,1396105184
0,1,0,371612032,371614016,811593824
1,1,0,374433792,18912,441509568
0,2,0,377432448,377434464,822530816
1,2,0,448641760,24576,448643296
0,3,0,408728160,408730336,859255936
1,3,0,456706400,19904,456704864
0,4,0,436339520,436341664,894277568
1,4,0,489016224,19360,489014592
0,5,0,498263648,498265856,966253664
1,5,0,588828064,20192,588829760
0,6,0,551828160,551830240,1031587584
1,6,0,675498304,22752,675496768
0,7,0,646463904,646466016,1144688448
1,7,0,767459968,19776,767461536
0,8,0,725927232,725929216,1239966208
1,8,0,861609120,19584,861610432
0,9,0,827859552,827861728,1387854528
1,9,0,945894848,19776,1394424736
0,1,0,373438784,373440928,812989888
1,1,0,374634816,18976,441548064
0,2,0,379330176,379332320,824622272
1,2,0,448848960,19168,448850368
0,3,0,409024736,409026880,859055392
1,3,0,433307776,18976,456797792
0,4,0,436043808,436045920,894187968
1,4,0,492259552,19392,471505056
0,5,0,499388928,499391072,966746080
1,5,0,589067840,19552,498516640
0,6,0,552219936,552222080,1033364992
1,6,0,676575424,19328,539821248
0,7,0,646420288,646422144,1142881888
1,7,0,771491264,19072,608560480
0,8,0,724661600,724663808,1235873024
1,8,0,864518848,19392,757265952
0,9,0,832299008,832301056,1393484032
1,9,0,950577344,19520,1235307168
0,1,0,374631456,374633632,817101568
1,1,0,374692960,19072,441558816
0,2,0,377591008,377593152,822886368
1,2,0,388236608,18880,448762656
0,3,0,409079712,409081888,859114560
1,3,0,435502176,22304,456716320
0,4,0,436004544,436006656,894172832
1,4,0,491305472,18816,470933472
0,5,0,496902688,496904672,964332256
1,5,0,589010080,18720,497987968
0,6,0,552409472,552411488,1033594208
1,6,0,675475968,19424,539786816
0,7,0,646732128,646734272,1143216224
1,7,0,769201440,19232,608359232
0,8,0,725032224,725034592,1236264320
1,8,0,864233920,19008,758442048
