Par,Size,start1,end1,start2,end2
0,1,0,438650880,438653056,810450624
1,1,0,440657728,24160,374504352
0,2,0,444183264,444185376,822003936
1,2,0,447841536,19008,447843072
0,3,0,449270368,449272576,858472096
1,3,0,455810528,19648,455808864
0,4,0,457000224,457002048,893383936
1,4,0,469498656,19392,489257440
0,5,0,467806528,467808640,965048480
1,5,0,588327424,20224,588328992
0,6,0,480919424,480921568,1032885088
1,6,0,537411552,19136,674241504
0,7,0,499808000,499810144,1148776128
1,7,0,768860288,20192,768858784
0,8,0,512775520,512777696,1241247904
1,8,0,865981824,19296,865983616
0,9,0,600631168,600633280,1430982496
1,9,0,794645312,20192,1199446368
0,1,0,438543648,438545792,809964128
1,1,0,440511648,18816,440510336
0,2,0,444681952,444684128,822399264
1,2,0,447751168,18752,447749632
0,3,0,449104800,449106688,858136544
1,3,0,456044416,19008,456045952
0,4,0,456777184,456779296,892651872
1,4,0,490697696,19776,490696192
0,5,0,467823200,467825344,965069664
1,5,0,585951168,19232,585949632
0,6,0,480437824,480440064,1033569920
1,6,0,674275840,20192,674277376
0,7,0,499810048,499812192,1148134944
1,7,0,768289344,19552,768290880
0,8,0,512539520,512541632,1239281696
1,8,0,864038944,20480,864040480
0,9,0,600644832,600647008,1430632832
1,9,0,794770464,19008,1203637792
0,1,0,439325536,439327712,810962272
1,1,0,441265824,19840,374322400
0,2,0,445144608,445146496,824969408
1,2,0,448622976,19200,448621568
0,3,0,449892768,449894944,858528928
1,3,0,456917280,19104,456915712
0,4,0,458036704,458039072,893880160
1,4,0,488230336,28128,488232096
0,5,0,467582848,467584992,965556160
1,5,0,587046848,19456,587045248
0,6,0,480450176,480452384,1033118272
1,6,0,674136768,19840,674138336
0,7,0,499700192,499702304,1148875168
1,7,0,770308608,19360,770310176
0,8,0,512036160,512038304,1241332672
1,8,0,867874848,19680,867876384
0,9,0,600641184,600643328,1431415968
1,9,0,718416096,18912,1093753504
0,1,0,438543936,438546176,810177376
1,1,0,440288832,19392,374128800
0,2,0,444265504,444267616,821524896
1,2,0,447817184,23328,447818944
0,3,0,449032224,449034368,857963968
1,3,0,456045248,19488,456043712
0,4,0,456619904,456622112,892821696
1,4,0,488361600,19424,488360096
0,5,0,467737888,467739776,964946560
1,5,0,589038656,19680,589040224
0,6,0,480512128,480514016,1033047936
1,6,0,675599392,21216,675597856
0,7,0,499842784,499844960,1148004000
1,7,0,769545248,18720,769539552
0,8,0,512815488,512817664,1241672448
1,8,0,867408544,20544,867401536
0,9,0,600622656,600624800,1430634784
1,9,0,796424224,19424,1203294496
0,1,0,439569824,439571808,811256064
1,1,0,441424256,19072,374420320
0,2,0,445177216,445179328,823316416
1,2,0,448716480,18752,448718016
0,3,0,450021024,450023072,859174208
1,3,0,456586080,19616,456587648
0,4,0,457859520,457861408,894159904
1,4,0,469020576,20128,488378720
0,5,0,467776768,467778944,965006368
1,5,0,591240320,18880,591241888
0,6,0,480603072,480605216,1035948224
1,6,0,674006944,19808,674005376
0,7,0,499791936,499794112,1148521920
1,7,0,768181504,20000,768176128
0,8,0,512692320,512694464,1241699808
1,8,0,865673184,19232,865671648
0,9,0,600724672,600726848,1431042752
1,9,0,1090704736,19776,1090703424
0,1,0,439480576,439482720,811211520
1,1,0,441296128,18688,374596192
0,2,0,444665216,444667168,822320000
1,2,0,448121952,18976,388256416
0,3,0,450183104,450185280,859244416
1,3,0,456835104,18752,433274592
0,4,0,457975552,457977696,894019616
1,4,0,470188928,19040,490380672
0,5,0,467753120,467755136,964608416
1,5,0,497706368,19488,588334496
0,6,0,480077504,480079712,1033573088
1,6,0,539821856,19808,677949984
0,7,0,497101472,497103616,1144919168
1,7,0,604875136,19712,771470816
0,8,0,511672256,511674432,1240163936
1,8,0,735791648,19264,871767072
0,9,0,600435456,600437664,1432795008
1,9,0,719405024,19328,1098749376
0,1,0,441180960,441183136,812939712
1,1,0,441256320,19520,374549600
0,2,0,444670176,444678912,822683744
1,2,0,448183424,19520,388235200
0,3,0,450230720,450232896,859401056
1,3,0,456849376,19232,433276576
0,4,0,458206080,458208256,894380960
1,4,0,469817984,19104,489849568
0,5,0,467868576,467870720,964790592
1,5,0,499428672,32448,587856064
0,6,0,480037152,480039296,1033996864
1,6,0,536814688,19040,674522496
0,7,0,497209184,497211328,1145386496
1,7,0,604388512,20192,769142336
0,8,0,511747648,511749984,1240673312
1,8,0,732173536,19712,868552000
0,9,0,600447136,600449248,1432727744
1,9,0,718814496,18944,1099365920
0,1,0,442458944,442461056,817141824
1,1,0,441217760,19680,374472768
0,2,0,444656288,444658432,822301984
1,2,0,448115680,19712,388263360
0,3,0,450232352,450234560,859301152
1,3,0,457103296,18656,433977088
0,4,0,457986688,457988480,894058368
1,4,0,470177920,19008,490355776
0,5,0,467804640,467806784,964705376
1,5,0,498216672,19296,588579680
0,6,0,480066880,480068992,1033207584
1,6,0,540760160,19872,679377984
0,7,0,497138880,497140992,1144397344
1,7,0,601149312,19936,769340768
0,8,0,511802304,511804480,1240109408
1,8,0,733900864,22656,870573952
0,9,0,600481088,600483264,1432730496
1,9,0,720097024,18976,1101159840
0,1,0,442433600,442435584,817094432
1,1,0,441239520,18880,441237984
0,2,0,444594336,444596512,822296224
1,2,0,448179136,19424,448180672
0,3,0,450170688,450172928,859262112
1,3,0,457108832,18784,433994464
0,4,0,457954912,457957056,893996288
1,4,0,470188672,19232,490292928
0,5,0,467764384,467766528,964642496
1,5,0,498141088,19392,588920416
0,6,0,480007328,480009376,1031335520
1,6,0,539118240,19456,677225376
0,7,0,497014240,497016416,1144696864
1,7,0,603270880,19168,769360800
0,8,0,511701248,511703424,1238473984
1,8,0,735780256,20064,870672384
0,9,0,600492448,600494624,1432864448
1,9,0,797644640,20544,1205791488
0,1,0,442437664,442439840,817120032
1,1,0,441424192,19456,374757536
0,2,0,444859104,444861280,822787584
1,2,0,448165184,19232,388298400
0,3,0,450255520,450257664,859407008
1,3,0,457158112,19072,434066368
0,4,0,458030368,458032576,894069536
1,4,0,470990304,20256,491308032
0,5,0,467754496,467756640,964570816
1,5,0,587690368,19744,587691904
0,6,0,480089312,480091456,1031100544
1,6,0,538792384,19424,676763424
0,7,0,497164640,497166656,1145090976
1,7,0,612132064,20320,773836672
0,8,0,514420224,514422336,1245305600
1,8,0,731987136,20384,868956384
0,9,0,600472224,600474400,1433163904
1,9,0,719510592,20000,1102519744
