Par,Size,start1,end1,start2,end2
0,7,0,645625664,645627808,1059958752
1,7,0,751439136,21408,510788256
0,8,0,725733216,725735360,1152581056
1,8,0,840028672,20032,635869120
0,9,0,832238816,832240992,1300036224
1,9,0,948389888,19392,1077719680
0,1,0,373822944,373824896,740819488
1,1,0,374909184,19456,369068736
0,2,0,377670048,377672192,749358176
1,2,0,388093216,19520,375173696
0,3,0,409129312,409131488,784778624
1,3,0,433459072,21376,382048000
0,4,0,436031680,436033856,818385824
1,4,0,486055808,20864,394092064
0,5,0,496914944,496917120,887040672
1,5,0,577333056,20896,416308000
0,6,0,552106240,552108288,953605792
1,6,0,657006944,21312,450322176
0,7,0,646099616,646101600,1060253728
1,7,0,756206848,20480,512679232
0,8,0,724409216,724411360,1151285216
1,8,0,845918688,27456,636203200
0,9,0,832288320,832290656,1300048096
1,9,0,948028288,19200,1083942496
