Par,Size,start1,end1,start2,end2
0,1,0,370991648,370993600,1093628352
1,1,0,842279200,95168,837200416
0,2,0,378449728,378452032,1022512800
1,2,0,859359552,95168,859361120
0,3,0,408501024,408503072,959726624
1,3,0,840779776,24128,840781184
0,4,0,435799200,435801344,932983776
1,4,0,821229728,26816,821228288
0,5,0,496802176,496804352,932679168
1,5,0,820435648,24000,820434240
0,6,0,581363264,581365408,990138784
1,6,0,844609600,31968,844608192
0,7,0,644279424,644281440,1021948096
1,7,0,832121312,94944,832119904
0,8,0,722648960,722651104,1094202912
1,8,0,845392032,97696,845390592
0,1,0,371195776,371197824,1094260160
1,1,0,842836896,94080,842838432
0,2,0,377265888,377268032,1022081888
1,2,0,862639456,88608,862643968
0,3,0,408618016,408619936,959424288
1,3,0,842530752,23936,842524544
0,4,0,435958624,435960992,933293472
1,4,0,821521856,25728,821523392
0,5,0,496849056,496851072,933112384
1,5,0,820247232,23296,820245824
0,6,0,574285920,574288128,983288512
1,6,0,849099296,38976,849097888
0,7,0,644308864,644311040,1022209952
1,7,0,832079488,90048,832078048
0,8,0,722763904,722766048,1094581696
1,8,0,846165696,95168,846167264
0,1,0,371289248,371291424,1094402624
1,1,0,842709600,88256,842708192
0,2,0,377421024,377423200,1021869760
1,2,0,852552192,94624,852553600
0,3,0,408376640,408378656,959154048
1,3,0,847459264,23936,847460672
0,4,0,435867008,435869024,932968160
1,4,0,821408928,23968,821407520
0,5,0,496796416,496798592,932707840
1,5,0,820694496,23072,820693088
0,6,0,550740032,550742016,959750240
1,6,0,844962272,20544,844963968
0,7,0,667490336,667492704,1045223040
1,7,0,832237664,88608,832239072
0,8,0,722708128,722710208,1094387840
1,8,0,845507520,95744,845508928
0,1,0,371078208,371080384,1094152416
1,1,0,842952704,90528,842954240
0,2,0,378589824,378592160,1023185728
1,2,0,829949408,121344,829948000
0,3,0,408443808,408445824,959660864
1,3,0,869176352,23936,869177792
0,4,0,435684352,435686016,932543744
1,4,0,821117984,19616,821116576
0,5,0,496823232,496825376,932848096
1,5,0,820716928,28928,820718336
0,6,0,550708736,550710624,959540000
1,6,0,849020480,19200,849021888
0,7,0,644022880,644024864,1022349024
1,7,0,833798400,93152,833796992
0,8,0,733328864,733330848,1104964640
1,8,0,846053728,92480,846055136
0,1,0,371418784,371420768,1094566080
1,1,0,842452032,91136,842453440
0,2,0,377325248,377333600,1021356512
1,2,0,830357280,92096,830358688
0,3,0,408504896,408507200,959720352
1,3,0,847432192,19584,847433600
0,4,0,435690176,435692352,932783776
1,4,0,853175872,24896,853174464
0,5,0,496804096,496806240,932671296
1,5,0,820736672,22720,820735264
0,6,0,550824640,550826688,959481216
1,6,0,849076864,32480,849075424
0,7,0,644755520,644757632,1022885664
1,7,0,831941568,91520,831942976
0,8,0,722719648,722721632,1094003744
1,8,0,845660928,92128,845659488
