Par,Size,start1,end1,start2,end2
0,1,0,371236288,371238400,1094056288
1,1,0,842746720,91904,842748128
0,2,0,412785952,412788128,1057512704
1,2,0,830275328,93984,830276800
0,3,0,408820672,408823072,960014400
1,3,0,842350912,21472,842349504
0,4,0,435979872,435982016,933166688
1,4,0,843165920,21600,843164480
0,5,0,496829696,496831840,933029312
1,5,0,820608384,27488,820609824
0,6,0,550820320,550822304,959835552
1,6,0,844490944,21632,844492384
0,7,0,684663968,684666144,1062217856
1,7,0,832163840,108832,832162304
0,8,0,722669088,722675936,1094401824
1,8,0,845950304,91808,845948896
0,1,0,371100288,371102304,1094163360
1,1,0,842836640,101120,842835232
0,2,0,379497216,379499296,1024258912
1,2,0,830011008,91744,830012448
0,3,0,408461920,408463904,959669984
1,3,0,847622016,20832,847620608
0,4,0,435691936,435694336,932553888
1,4,0,821061888,20800,821060480
0,5,0,496776960,496779296,933010528
1,5,0,820401600,21184,820400064
0,6,0,550825376,550827520,959852128
1,6,0,844483104,22752,844481696
0,7,0,644016864,644018848,1023128288
1,7,0,831921760,91936,831920352
0,8,0,722599040,722601216,1094114368
1,8,0,845283808,90528,845285280
0,1,0,370936512,370944096,1093938592
1,1,0,842753472,93344,842751968
0,2,0,402576384,402578528,1047204160
1,2,0,830001024,97632,829999584
0,3,0,408172096,408174240,958939744
1,3,0,847647968,21376,847646432
0,4,0,435645696,435647872,932811456
1,4,0,847764128,21120,847762720
0,5,0,496756992,496759008,932871744
1,5,0,820158144,20832,820165280
0,6,0,550671232,550673344,960299744
1,6,0,849540096,21888,849541632
0,7,0,682228416,682230624,1061118944
1,7,0,832216640,93792,832218176
0,8,0,722805440,722807584,1094136576
1,8,0,845410464,93312,845411872
0,1,0,371194848,371196960,1094262848
1,1,0,842430432,91520,842429024
0,2,0,377232224,377234368,1021407328
1,2,0,830180288,95360,830181728
0,3,0,408549632,408551776,959552672
1,3,0,847484224,21600,847482752
0,4,0,435710208,435712512,932913376
1,4,0,821182176,21824,821183648
0,5,0,496800032,496802208,932652768
1,5,0,820313024,24640,820314464
0,6,0,550926848,550928864,960090656
1,6,0,844736480,22880,844735072
0,7,0,644200192,644202208,1022765856
1,7,0,832061920,116352,832063360
0,8,0,722686048,722688224,1094280544
1,8,0,845783968,95104,845785504
0,1,0,371013280,371015456,1093922304
1,1,0,842555488,93152,842557152
0,2,0,418687520,418689728,1063524384
1,2,0,830414272,89696,830415680
0,3,0,408707296,408709344,959984320
1,3,0,847640960,21120,847642400
0,4,0,435698176,435700512,932548096
1,4,0,846854016,21600,846855456
0,5,0,496871008,496873152,933191616
1,5,0,820329632,21696,820331072
0,6,0,550796608,550798784,959476224
1,6,0,844705184,21632,844706752
0,7,0,680481984,680484128,1058132416
1,7,0,831923104,96288,831921696
0,8,0,722719104,722721152,1094454528
1,8,0,845846528,92512,845844960
