Par,Size,start1,end1,start2,end2
0,1,0,370973600,370975776,711564352
1,1,0,387889792,90688,340899328
0,2,0,377162560,377164640,709995872
1,2,0,402395872,91904,402394560
0,3,0,408872384,408874400,728430592
1,3,0,438036576,25472,323768448
0,4,0,435728352,435730688,747288960
1,4,0,477582624,20928,319800736
0,5,0,496597696,496599872,801582080
1,5,0,548661760,29440,321902624
0,6,0,550716224,550718240,850674048
1,6,0,612788416,21088,333921088
0,7,0,644373792,644375936,941075552
1,7,0,677655072,93920,677653536
0,8,0,722640992,722643008,1015799456
1,8,0,742813920,92576,351269824
0,1,0,370930016,370932160,711048320
1,1,0,387932864,90496,387931360
0,2,0,377318720,377320704,710107520
1,2,0,427136736,92256,359506240
0,3,0,408453824,408455968,727559072
1,3,0,439949760,20736,439948256
0,4,0,435722272,435724288,747628672
1,4,0,479336736,21568,479338144
0,5,0,518088032,518090208,823450720
1,5,0,548516192,21696,548517728
0,6,0,550761760,550763776,851693248
1,6,0,611554624,21792,333333696
0,7,0,644074848,644076992,940731136
1,7,0,699002208,90880,357155264
0,8,0,722651168,722653248,1015606016
1,8,0,743839808,94368,743841344
0,1,0,371063744,371065920,711701984
1,1,0,387943616,95296,340897568
0,2,0,377041088,377043232,709654912
1,2,0,401706752,94496,401705216
0,3,0,408326272,408328256,727767584
1,3,0,439373888,21312,439372352
0,4,0,435710592,435712736,748313632
1,4,0,480031456,20608,320389536
0,5,0,496725536,496727712,802527968
1,5,0,548332608,21536,548334176
0,6,0,550771680,550773824,851109088
1,6,0,611856608,21312,611858176
0,7,0,644387744,644389888,941445344
1,7,0,677000000,93088,336088384
0,8,0,722660320,722662432,1015890432
1,8,0,743782912,94656,743781376
0,1,0,371222944,371225088,711853344
1,1,0,388424576,92736,388423040
0,2,0,377521984,377524064,710594944
1,2,0,426036224,96576,358466912
0,3,0,408849344,408851456,728379872
1,3,0,439820832,21312,324262720
0,4,0,435661216,435663360,747178144
1,4,0,479360320,21056,320500352
0,5,0,524257344,524259552,829652992
1,5,0,548230304,20896,321848512
0,6,0,550744928,550747072,851353280
1,6,0,611865760,21408,611867296
0,7,0,644175488,644181728,941207744
1,7,0,698389600,93248,357118688
0,8,0,723093600,723095712,1015968160
1,8,0,744112992,93312,744111456
0,1,0,371076096,371078112,711713568
1,1,0,387984896,110272,387986208
0,2,0,377131712,377133888,710179168
1,2,0,401643968,92032,335084544
0,3,0,408488960,408491072,727578304
1,3,0,439391072,21632,439389536
0,4,0,435886656,435888832,748597696
1,4,0,477879648,21536,477878080
0,5,0,496791168,496793312,802223616
1,5,0,548570304,21344,321968480
0,6,0,550721248,550723392,851115104
1,6,0,611544000,21120,611550624
0,7,0,644019840,644021856,941070080
1,7,0,677290240,92640,677288704
0,8,0,722854880,722856608,1016040736
1,8,0,743453760,92960,743455296
