Par,Size,start1,end1,start2,end2
0,1,0,371658848,371660992,881378080
1,1,0,510328544,90304,510327008
0,2,0,377063232,377065408,875200832
1,2,0,406703104,90784,500990272
0,3,0,408695584,408697728,886887296
1,3,0,485298496,20512,485296960
0,4,0,435881472,435883488,904096416
1,4,0,535934656,23968,535933152
0,5,0,496879488,496881632,955078560
1,5,0,576082688,22784,483631520
0,6,0,550834336,550836352,1000564064
1,6,0,641765184,18592,641763840
0,7,0,679348608,679350624,1124060288
1,7,0,693689664,90752,693691264
0,8,0,722756672,722758848,1161801952
1,8,0,754245728,93888,754247264
0,1,0,371280224,371282240,881460512
1,1,0,510462912,91552,510461376
0,2,0,378652416,378654560,876759136
1,2,0,501023680,92320,501025312
0,3,0,408664384,408666400,887016160
1,3,0,505725408,20032,505723904
0,4,0,435912128,435914144,902965312
1,4,0,500143936,19456,500145472
0,5,0,496868992,496871296,954334048
1,5,0,577572096,23552,577570592
0,6,0,550905600,550907744,1000670400
1,6,0,641929920,21088,641931456
0,7,0,655024512,655026688,1099819712
1,7,0,693141216,91616,693142784
0,8,0,722720672,722722688,1161713568
1,8,0,754246112,104544,754244800
0,1,0,371136000,371138304,881320736
1,1,0,390376960,90752,510569472
0,2,0,377333216,377335200,875842816
1,2,0,406662816,90592,500984096
0,3,0,408535968,408538112,886622208
1,3,0,469100064,19040,505238368
0,4,0,435809184,435811168,902536288
1,4,0,499833792,5536,499832256
0,5,0,496783168,496785312,953711808
1,5,0,575873504,19168,575871840
0,6,0,577569888,577572032,1027214528
1,6,0,643803264,19168,643801856
0,7,0,644075968,644077984,1089413344
1,7,0,693317696,88320,693319232
0,8,0,722941888,722944288,1161789568
1,8,0,754215360,98016,754213856
0,1,0,371145056,371147072,880999040
1,1,0,510493216,92832,510491680
0,2,0,377352000,377353984,875487296
1,2,0,529994176,92608,529995744
0,3,0,408586880,408589056,886775296
1,3,0,487127392,24896,487134912
0,4,0,436022912,436024992,902852256
1,4,0,498780192,19872,498781728
0,5,0,496858304,496860288,954042880
1,5,0,573868928,19168,573861856
0,6,0,550903488,550905632,1000658720
1,6,0,643298944,19776,643300480
0,7,0,644407808,644409888,1089988128
1,7,0,693791168,90624,693789664
0,8,0,722971200,722973312,1161838816
1,8,0,752955008,88608,752956320
0,1,0,371394080,371396096,881507456
1,1,0,427281888,91040,546747872
0,2,0,377365664,377367776,875883552
1,2,0,501005312,97120,501006816
0,3,0,408544288,408546464,886847584
1,3,0,484972192,19200,484978112
0,4,0,435817664,435819648,902846080
1,4,0,498744448,20480,498746112
0,5,0,521627104,521629152,978548672
1,5,0,578297696,19200,578299232
0,6,0,550955168,550957216,1000785120
1,6,0,643756640,18976,643758176
0,7,0,644391712,644394080,1089897504
1,7,0,695214176,90976,695212640
0,8,0,722805344,722807360,1162694624
1,8,0,767355104,111552,767356672
