Par,Size,start1,end1,start2,end2
0,1,0,146683840,146685952,869364768
1,1,0,733267040,91648,733264288
0,2,0,148299456,148301632,792465632
1,2,0,660596544,91488,660597856
0,3,0,149941632,149943552,701164640
1,3,0,581736576,21568,581735264
0,4,0,152511168,152513344,649325568
1,4,0,160881280,21216,523175136
0,5,0,155698976,155700960,595243488
1,5,0,457093408,20960,457091712
0,6,0,159908640,159910816,569490848
1,6,0,424597152,20864,424598560
0,7,0,166347296,166349440,541977824
1,7,0,167511680,98240,389259680
0,8,0,170211136,170213184,541416096
1,8,0,170603168,90336,379567712
0,1,0,146322208,146324256,869028384
1,1,0,174974080,90432,733271488
0,2,0,148334912,148337056,792698944
1,2,0,660557856,90944,660556352
0,3,0,149855200,149857344,700819744
1,3,0,166597952,20992,581684736
0,4,0,152547968,152549984,649760448
1,4,0,160898112,21504,523194592
0,5,0,155909376,155911520,592196704
1,5,0,159993664,20800,457153056
0,6,0,159940512,159942656,569546240
1,6,0,162278464,21216,424473440
0,7,0,166890464,166892576,544279328
1,7,0,167539136,103168,391143840
0,8,0,170249824,170251744,541729632
1,8,0,170627200,139904,379862720
0,1,0,146350016,146352160,869064608
1,1,0,174994528,92096,733418176
0,2,0,148356960,148359072,793107232
1,2,0,167596672,90368,660852864
0,3,0,149880896,149882880,700672768
1,3,0,582642272,30592,582643808
0,4,0,152489952,152492128,649345600
1,4,0,522955264,20704,522956576
0,5,0,155872416,155874336,592166752
1,5,0,160002784,21312,457953184
0,6,0,159933184,159935296,569600064
1,6,0,162277248,20832,424052800
0,7,0,166355072,166357280,541978592
1,7,0,390573088,92736,390574688
0,8,0,170206272,170208416,541530400
1,8,0,170622080,101184,379936128
0,1,0,146418016,146420128,869516960
1,1,0,733187936,90272,733186400
0,2,0,148312992,148315136,792716768
1,2,0,167504352,91552,660657920
0,3,0,149849792,149851904,701180544
1,3,0,166653504,21344,582045248
0,4,0,152489216,152491360,649212320
1,4,0,160911648,22208,523145184
0,5,0,155797248,155799392,595519296
1,5,0,159964160,21120,457190592
0,6,0,159903840,159905984,569447008
1,6,0,162234880,21376,423819232
0,7,0,166347168,166349344,541888384
1,7,0,167510080,91712,390698176
0,8,0,170247840,170249888,541558976
1,8,0,170601184,91680,379499488
0,1,0,146332736,146334944,869019936
1,1,0,174981728,89888,733337696
0,2,0,148299840,148301824,792456800
1,2,0,167512384,92320,660698784
0,3,0,149848576,149850752,700749152
1,3,0,166743296,21216,582323648
0,4,0,152513056,152515200,649390784
1,4,0,160884512,22240,523165888
0,5,0,156053632,156055744,592176608
1,5,0,159945312,21056,457335136
0,6,0,159937024,159939168,569672288
1,6,0,162232448,22240,424312320
0,7,0,166413856,166415712,543951296
1,7,0,167511360,91744,390976448
0,8,0,170278944,170280832,541804352
1,8,0,170667264,93408,379794112
