Par,Size,start1,end1,start2,end2
0,1,0,371297152,371300960,1094484480
1,1,0,842459520,92928,837344640
0,2,0,377211456,377213568,1021335008
1,2,0,828376512,92064,829981216
0,3,0,408453184,408455328,959183776
1,3,0,847365888,28608,830138464
0,4,0,435759072,435761216,932482144
1,4,0,821163552,23200,821165024
0,5,0,496703392,496705536,936462272
1,5,0,820559456,23584,819710688
0,6,0,550744704,550746848,960413280
1,6,0,844501120,24224,844499680
0,7,0,644277216,644279520,1022555456
1,7,0,831900768,93760,831899360
0,8,0,722607232,722609248,1093855584
1,8,0,833980160,99680,845351616
0,1,0,371497312,371499424,1094215616
1,1,0,842727136,92928,842728544
0,2,0,378806016,378808192,1022972192
1,2,0,830009120,91648,830007680
0,3,0,435117312,435119488,986320960
1,3,0,847534688,22976,847536096
0,4,0,436061664,436063808,933128640
1,4,0,821221984,25088,821220576
0,5,0,496776608,496778752,933103360
1,5,0,857229824,25472,857228416
0,6,0,550797056,550806176,959774240
1,6,0,849057120,22880,849058560
0,7,0,644138976,644140960,1021821152
1,7,0,832229440,92000,832227936
0,8,0,756987424,756989472,1128761664
1,8,0,845524096,89152,845522688
0,1,0,371087744,371090048,1094095296
1,1,0,842769728,91072,842771168
0,2,0,377446624,377448768,1021875424
1,2,0,830017664,93056,830016256
0,3,0,408459424,408461440,959668288
1,3,0,847607424,20352,847605824
0,4,0,435550720,435552864,932255712
1,4,0,821324320,20640,821322880
0,5,0,496780960,496783296,932983360
1,5,0,820276160,23392,820274752
0,6,0,550637920,550640064,960263424
1,6,0,848956384,20640,848954976
0,7,0,644044704,644046720,1022201728
1,7,0,832113120,93888,832111712
0,8,0,722774784,722776928,1094454880
1,8,0,845642656,93568,845641216
0,1,0,371067200,371069376,1093750720
1,1,0,842763168,90112,842764704
0,2,0,377002432,377004608,1021055520
1,2,0,830092928,89696,830091488
0,3,0,408665056,408667072,959932320
1,3,0,847463488,22496,847462080
0,4,0,435655360,435657696,932858720
1,4,0,821052352,23712,821050944
0,5,0,496685536,496687488,936608960
1,5,0,820236864,21344,820238336
0,6,0,550806656,550808864,959743744
1,6,0,844585344,23232,844583936
0,7,0,644191808,644193824,1021676384
1,7,0,832255424,91232,832256864
0,8,0,722707456,722709760,1094347136
1,8,0,845550720,93312,845552128
0,1,0,370958112,370960128,1093961184
1,1,0,842660288,92480,842661728
0,2,0,377310432,377312448,1022064288
1,2,0,830060128,102496,830061568
0,3,0,408396896,408398880,959555232
1,3,0,847425120,22816,847426528
0,4,0,435662688,435664736,932836192
1,4,0,821163520,22720,821162112
0,5,0,496819488,496821472,933064032
1,5,0,820552320,22976,820550880
0,6,0,550819392,550825888,959918080
1,6,0,848958112,23424,848956704
0,7,0,644139488,644141664,1021888928
1,7,0,831815232,94848,831813824
0,8,0,722653408,722655424,1094184800
1,8,0,845508000,95776,845509440
